date,team,elo,elo_10th,norm_elo,elo_off,elo_def,off_10th,def_10th,norm_off,norm_def,played_match_today
1872-11-30,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1873-03-08,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1874-03-07,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1875-03-06,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1876-03-04,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1876-03-25,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1877-03-03,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1877-03-05,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1878-03-02,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1878-03-23,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1879-01-18,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1879-04-05,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1879-04-07,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1880-03-13,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1880-03-15,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1880-03-27,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1881-02-26,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1881-03-12,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
1881-03-14,Netherlands,1500.0,1500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,False
